sensor,policy,group,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
optical_gel_array,raw_energy_threshold,all,0.647576,0.647576,0.631921,0.706909,0.588243,0.667315,0.539433,0.205879,0.146546,0.071357,0.150405,0.096173,0.706068,0.318408
optical_gel_array,uncertainty_gate,all,0.630745,0.630745,0.637070,0.607673,0.653817,0.622024,0.497382,0.173092,0.196164,0.091357,0.160405,0.081123,0.706068,0.360459
optical_gel_array,temporal_persistence_gate,all,0.615072,0.615072,0.627630,0.565876,0.664269,0.595155,0.467200,0.167866,0.217062,0.111357,0.170405,0.073364,0.706068,0.390641
optical_gel_array,residual_shape_only,all,0.728139,0.728139,0.776873,0.640131,0.816147,0.701904,0.589698,0.091927,0.179934,0.131357,0.180405,0.121295,0.706068,0.268143
optical_gel_array,uncalibrated_causal_residual,all,0.741204,0.741204,0.758933,0.706969,0.775439,0.732030,0.611923,0.112280,0.146515,0.151357,0.190405,0.116324,0.706068,0.245918
optical_gel_array,calibrated_causal_tactile_residual,all,0.804416,0.804416,0.816562,0.785231,0.823600,0.800590,0.682593,0.088200,0.107384,0.191357,0.200405,0.154807,0.706068,0.175248
optical_gel_array,oracle_source_classifier,all,0.956609,0.956609,0.955402,0.957934,0.955284,0.956666,0.862126,0.022358,0.021033,0.231357,0.180405,0.456609,0.706068,0.000000
digit_like_fingertip,raw_energy_threshold,all,0.642292,0.642292,0.645746,0.630441,0.654143,0.638002,0.521344,0.172929,0.184779,0.066284,0.140405,0.089456,0.652909,0.336497
digit_like_fingertip,uncertainty_gate,all,0.620166,0.620166,0.643144,0.539904,0.700427,0.587019,0.475127,0.149786,0.230048,0.086284,0.150405,0.081891,0.652909,0.382714
digit_like_fingertip,temporal_persistence_gate,all,0.606405,0.606405,0.628056,0.521867,0.690943,0.570059,0.451595,0.154529,0.239066,0.106284,0.160405,0.075445,0.652909,0.406246
digit_like_fingertip,residual_shape_only,all,0.704832,0.704832,0.770580,0.583338,0.826326,0.664012,0.557047,0.086837,0.208331,0.126284,0.170405,0.118731,0.652909,0.300794
digit_like_fingertip,uncalibrated_causal_residual,all,0.722540,0.722540,0.759396,0.651498,0.793582,0.701321,0.584398,0.103209,0.174251,0.146284,0.180405,0.112208,0.652909,0.273443
digit_like_fingertip,calibrated_causal_tactile_residual,all,0.794641,0.794641,0.817270,0.758979,0.830304,0.787047,0.670095,0.084848,0.120511,0.186284,0.190405,0.152520,0.652909,0.187746
digit_like_fingertip,oracle_source_classifier,all,0.953685,0.953685,0.952486,0.955010,0.952360,0.953746,0.861106,0.023820,0.022495,0.226284,0.170405,0.453685,0.652909,0.000000
magnetic_skin,raw_energy_threshold,all,0.635930,0.635930,0.645990,0.601475,0.670385,0.622938,0.510696,0.164808,0.199263,0.065469,0.130405,0.089368,0.583263,0.347145
magnetic_skin,uncertainty_gate,all,0.613601,0.613601,0.640821,0.516954,0.710248,0.572262,0.465359,0.144876,0.241523,0.085469,0.140405,0.083853,0.583263,0.392482
magnetic_skin,temporal_persistence_gate,all,0.599068,0.599068,0.623749,0.499343,0.698792,0.554656,0.441078,0.150604,0.250328,0.105469,0.150405,0.077362,0.583263,0.416763
